OSM_ESTIMATED_HEIGHT_M,levels_clean,DISTRICT,RERA_ID,PROJECT_NAME,PROMOTER_NAME,LOCATION_PIN_CODE,LATITUDE,LONGITUDE,PROPOSED_DATE_OF_COMPLETION,REVISED_PROPOSED_DATE_OF_COMPLETION,EXTENDED_DATE_OF_COMPLETION,PROJECT_TYPE,PROJECT_AREA_(SQMTS),RECREATIONAL_OPEN_SPACE,SANCTIONED_FSI,DATE_LAST_MODIFIED,CASES_COUNT,COMPLAINTS_COUNT,NUMBER_OF_APPARTMENTS,NUMBER_OF_BOOKED_APPARTMENTS,NUMBER_OF_BASEMENTS,NUMBER_OF_PLINTH,NUMBER_OF_PODIUMS,NUMBER_OF_SANCTIONED_FLOORS,NUMBER_OF_STILTS,TOTAL_NO__OF_OPEN_PARKING_AS_PER_SANCTIONED_PLAN_(4-WHEELER+2-WHEELER),NUMBER_OF_CLOSED_PARKING,SOURCE_REGION,CLEAN_PODIUMS,NON_RESIDENTIAL_FLOORS,RESIDENTIAL_START_FLOOR,TOTAL_LEVELS,HABITABLE_RESIDENTIAL_FLOORS,PODIUM_PARKING_RANGE,REFUGE_FLOORS,EST_FLATS_PER_FLOOR,FINAL_FLOORS,CLEAN_BASEMENTS,STRUCTURAL_HEIGHT_M,GROUND_ELEVATION_MSL_M,TERRAIN_HEIGHT_M,BUILT_VOLUME_CBM,HEIGHT_TIER,BASE_ULPIN_ID
21.7,7.0,Mumbai Suburban,P51800011781,WINDSOR,THE WINDSOR,400050,19.0551695,72.8299518,31-01-2019,30-12-2020,0,Residential,846.2,0.0,1511.32,09/25/2020,0,0,16,4,1.0,1,0,7,1,0,29,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,252,7.0,,21.7,15.26,15.26,3964524.85,Mid-Rise,IN-MH-MUM-P51800011781-19055
21.7,7.0,Mumbai Suburban,P51800012412,NAV PALMYRA,PATEL ENGINEERING LIMITED,400050,19.0551695,72.8299518,31-07-2018,31-07-2019,0,Residential,1303.8,20.5,2816.7,02/22/2019,2,0,11,10,0.0,0,1,13,1,0,1,mumbai-suburban,1,2,3,7,5,Ground to Floor 2,,563,13.0,,40.3,15.26,15.26,11384481.73,High-Rise,IN-MH-MUM-P51800012412-19055
21.7,7.0,Mumbai Suburban,P51800008637,NEW FRIENDS SRA CHS LTD,M/S. VIRAJ ENTERPRIES,400050,19.0551695,72.8299518,31-03-2022,30-10-2023,0,Others,1302.0,194.63,1981.61,02/21/2019,0,0,51,45,0.0,2,4,28,1,0,25,mumbai-suburban,4,5,6,7,2,Ground to Floor 5,,991,28.0,,86.8,15.26,15.26,7998174.28,High-Rise,IN-MH-MUM-P51800008637-19055
21.7,7.0,Mumbai City,P51900011605,Marina,Keyhomes Realtors Private Limited,400050,19.0551695,72.8299518,31-12-2020,30-12-2023,12/29/2024,Residential,1416.5,197.71,1292.39,02/22/2024,0,0,63,60,0.0,2,0,30,2,0,39,mumbai-city,0,2,3,7,5,Ground to Floor 2,,258,30.0,,93.0,15.26,15.26,5675078.35,High-Rise,IN-MH-MUM-P51900011605-19055
21.7,7.0,Mumbai Suburban,P51800008853,SOS DEVELOPERS,SOS DEVELOPERS,400050,19.0551695,72.8299518,31-12-2023,30-12-2024,0,Commercial,1036.3,0.0,0.0,02/20/2019,0,0,14,0,1.0,1,0,8,0,0,35,mumbai-suburban,0,0,1,7,7,Ground Only,,0,8.0,,24.8,15.26,15.26,0.0,Mid-Rise,IN-MH-MUM-P51800008853-19055
21.7,7.0,Mumbai City,P51900010464,Westside,Bhuvnesh Enterprises,400050,19.0551695,72.8299518,31-12-2020,30-12-2022,12/30/2023,Residential,522.6,0.0,1397.47,02/22/2024,1,0,19,18,1.0,1,3,13,1,0,14,mumbai-city,3,4,5,7,3,Ground to Floor 4,,466,13.0,,40.3,15.26,15.26,2263985.25,High-Rise,IN-MH-MUM-P51900010464-19055
21.7,7.0,Mumbai Suburban,P51800011379,BANDRA ONE,KML ESTATES PVT LTD,400050,19.0551695,72.8299518,31-12-2024,30-12-2025,0,Residential,1774.25,0.0,0.0,08-06-2017,1,0,35,0,1.0,1,4,20,1,6,1,mumbai-suburban,4,5,6,7,2,Ground to Floor 5,,0,20.0,,62.0,15.26,15.26,0.0,High-Rise,IN-MH-MUM-P51800011379-19055
21.7,7.0,Mumbai Suburban,P51800000418,BEAUPRIDE,SHETH REALTORS,400050,19.0551695,72.8299518,31-03-2017,31-12-2019,0,Others,2288.34,0.0,9065.69,09/30/2020,0,1,60,23,2.0,1,4,24,1,66,227,mumbai-suburban,4,5,6,7,2,Ground to Floor 5,,4533,24.0,,74.4,15.26,15.26,64310681.27,High-Rise,IN-MH-MUM-P51800000418-19055
21.7,7.0,Mumbai Suburban,P51800011496,CROWN,Zoy Shelcon Private Limited,400050,19.0551695,72.8299518,31-12-2021,30-12-2022,12/30/2023,Residential,660.5,0.0,0.0,12/22/2023,0,3,13,4,1.0,1,0,15,0,0,11,mumbai-suburban,0,0,1,7,7,Ground Only,,0,15.0,,46.5,15.26,15.26,0.0,High-Rise,IN-MH-MUM-P51800011496-19055
21.7,7.0,Mumbai Suburban,P51800001726,36 AB - Anand Bhavan,Vaswani 108 Lifespaces LLP,400050,19.0551695,72.8299518,30-06-2019,30-06-2019,0,Residential,1174.8,150.0,3169.82,11/22/2023,0,0,35,26,0.0,1,0,14,1,0,59,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,528,14.0,,43.4,15.26,15.26,11544104.06,High-Rise,IN-MH-MUM-P51800001726-19055
21.7,7.0,Mumbai Suburban,P51800001695,PALI HILL NAVROZE PREMISES CHS LIMITED,KRYSHNAJAY DEVELOPERS PRIVATE LIMITED,400050,19.0551695,72.8299518,31-08-2018,28-02-2021,02/28/2022,Others,2666.0,533.2,7835.0,12/15/2023,0,0,19,2,3.0,1,1,18,1,5,129,mumbai-suburban,1,2,3,7,5,Ground to Floor 2,,1567,18.0,,55.8,15.26,15.26,64753141.0,High-Rise,IN-MH-MUM-P51800001695-19055
21.7,7.0,Mumbai Suburban,P51800004930,ORIZZONTE,GLOMORE DEVELOPERS,400050,19.0551695,72.8299518,31-12-2022,30-12-2023,0,Residential,1600.84,352.63,3201.68,03/27/2023,2,0,31,21,0.0,1,3,17,1,7,15,mumbai-suburban,3,4,5,7,3,Ground to Floor 4,,1067,17.0,,52.7,15.26,15.26,15888669.97,High-Rise,IN-MH-MUM-P51800004930-19055
21.7,7.0,Mumbai Suburban,P51800009249,Resham,Manoj Vasudev Wadhwa,400050,19.0551695,72.8299518,31-12-2018,31-12-2018,12/31/2019,Residential,744.1,0.0,2007.87,05/26/2021,0,0,12,2,2.0,1,0,13,1,19,1,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,335,13.0,,40.3,15.26,15.26,4631573.81,High-Rise,IN-MH-MUM-P51800009249-19055
21.7,7.0,Mumbai Suburban,P51800010680,Epitome,Alvess Developers Private Limited,400050,19.0551695,72.8299518,31-12-2019,31-12-2019,0,Residential,1396.3,211.04,2679.25,06-12-2023,0,0,25,15,0.0,1,2,16,51,51,51,mumbai-suburban,2,2,3,7,5,Ground to Floor 2,,536,16.0,,49.6,15.26,15.26,11597214.0,High-Rise,IN-MH-MUM-P51800010680-19055
21.7,7.0,Mumbai City,P51900010179,219 Boat Club,MERINT DEVELOPERS PVT LTD,400050,19.0551695,72.8299518,28-02-2018,30-05-2018,0,Residential,2326.0,600.0,8218.0,02/28/2019,0,0,1,0,2.0,1,0,13,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,1174,13.0,,40.3,15.26,15.26,59256710.8,High-Rise,IN-MH-MUM-P51900010179-19055
21.7,7.0,Mumbai Suburban,P51800000728,Joy Alka,Joy Realty Limited,400050,19.0551695,72.8299518,31-12-2017,31-12-2018,0,Residential,1119.6,0.0,3022.37,11/20/2018,0,0,40,37,0.0,1,0,8,1,0,1,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,504,8.0,,24.8,15.26,15.26,10489920.9,Mid-Rise,IN-MH-MUM-P51800000728-19055
21.7,7.0,Mumbai Suburban,P51800005977,RESIDENCY,Zoy Shelcon Private Limited,400050,19.0551695,72.8299518,31-12-2021,30-12-2022,0,Residential,1586.4,0.0,0.0,03-09-2023,0,0,36,0,0.0,1,0,15,0,5,39,mumbai-suburban,0,0,1,7,7,Ground Only,,0,15.0,,46.5,15.26,15.26,0.0,High-Rise,IN-MH-MUM-P51800005977-19055
21.7,7.0,Mumbai Suburban,P51800006862,Redevelopment of New Kamal Kunj CHS Ltd,M/S MEETI DEVELOPERS PVT LTD,400050,19.0551695,72.8299518,30-12-2022,30-12-2022,0,Residential,3259.8,1835.6,0.0,08/19/2019,0,0,0,0,3.0,1,6,24,1,0,425,mumbai-suburban,6,7,8,8,1,Ground to Floor 7,,0,24.0,,74.4,15.26,15.26,0.0,High-Rise,IN-MH-MUM-P51800006862-19055
21.7,7.0,Mumbai Suburban,P51800008134,SAMYAKTH BLISS TOWER B,Samyakth Realties,400050,19.0551695,72.8299518,31-12-2022,30-06-2024,0,Residential,773.4,0.0,856.44,09/20/2018,0,0,6,6,0.0,1,0,4,1,3,77,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,143,4.0,,12.4,15.26,15.26,2053349.16,Low-Rise,IN-MH-MUM-P51800008134-19055
21.7,7.0,Mumbai Suburban,P51800001751,SANDHU PALACE B WING,SANDHU BUILDERS,400050,19.0551695,72.8299518,31-12-2022,30-12-2023,12/31/2028,Residential,379.47,0.0,1234.0,09/13/2023,7,0,5,0,2.0,1,0,5,1,0,80,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,206,5.0,,15.5,15.26,15.26,1451624.54,Mid-Rise,IN-MH-MUM-P51800001751-19055
21.7,7.0,Mumbai Suburban,P51800006074,PARK SOLITAIRE,AMAZON MANA & ASSOCIATES AOP,400050,19.0551695,72.8299518,31-12-2018,31-12-2018,12/31/2019,Residential,434.77,0.0,862.53,11-09-2021,0,2,10,9,0.0,1,0,17,1,0,19,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,144,17.0,,52.7,15.26,15.26,1162506.72,High-Rise,IN-MH-MUM-P51800006074-19055
21.7,7.0,Mumbai Suburban,P51800002957,Rigveda,Supreme Ventures LLP,400050,19.0551695,72.8299518,31-05-2021,30-05-2023,0,Residential,2566.1,384.91,4742.19,03/18/2024,0,0,22,10,0.0,1,2,19,2,7,50,mumbai-suburban,2,4,5,7,3,Ground to Floor 4,,1581,19.0,,58.9,15.26,15.26,37723694.65,High-Rise,IN-MH-MUM-P51800002957-19055
21.7,7.0,Mumbai Suburban,P51800009185,Sunrock,Aqeel Merchant & Adeel Merchant,400050,19.0551695,72.8299518,,31-12-2017,0,Residential,566.4,0.0,565.36,11/19/2018,1,0,14,2,0.0,1,2,12,1,4,1,mumbai-suburban,2,3,4,7,4,Ground to Floor 3,,4,7.0,,21.7,15.26,15.26,992681.7,Mid-Rise,IN-MH-MUM-P51800009185-19055
21.7,7.0,Mumbai Suburban,P51800015387,Singers Wood,Panchavati Constructions LLP,400050,19.0551695,72.8299518,28-02-2021,28-02-2021,11/28/2022,Residential,568.6,0.0,771.54,08/26/2023,0,0,9,0,0.0,1,0,12,20,0,20,mumbai-suburban,0,0,1,7,7,Ground Only,,110,12.0,,37.2,15.26,15.26,1359962.7,High-Rise,IN-MH-MUM-P51800015387-19055
21.7,7.0,Mumbai Suburban,P51800014562,1 BY URBANONE,URBAN ONE REALCON PVT LTD,400050,19.0551695,72.8299518,30-12-2023,30-12-2023,0,Residential,543.5,543.5,1458.22,12/21/2017,0,0,13,1,3.0,1,1,18,1,0,30,mumbai-suburban,1,2,3,7,5,Ground to Floor 2,,292,18.0,,55.8,15.26,15.26,2456881.97,High-Rise,IN-MH-MUM-P51800014562-19055
21.7,7.0,Mumbai Suburban,P51800005902,KACHWALA PALACE,CREST VENTURES LIMITED,400050,19.0551695,72.8299518,31-03-2020,30-09-2020,0,Others,543.5,0.0,1188.57,04-01-2022,0,0,13,10,1.0,1,0,10,0,12,0,mumbai-suburban,0,0,1,7,7,Ground Only,,170,10.0,,31.0,15.26,15.26,2002562.16,High-Rise,IN-MH-MUM-P51800005902-19055
21.7,7.0,Mumbai Suburban,P51800005115,K K RESIDENCY,Anis Yakub Khan,400086,19.0551695,72.8299518,31-12-2019,30-12-2021,0,Residential,4298.1,330.52,6906.91,11/21/2023,22,17,126,73,2.0,1,0,8,0,0,79,mumbai-suburban,0,0,1,7,7,Ground Only,,987,8.0,,24.8,15.26,15.26,92028428.6,Mid-Rise,IN-MH-MUM-P51800005115-19055
12.4,4.0,Mumbai Suburban,P51800018912,KRIPA ALLURE,KRIPA ONENESS PRIVATE LIMITED,400050,19.058056,72.829472,30-05-2022,30-05-2022,0,Others,835.6,0.0,778.65,11-12-2021,0,0,14,8,0.0,1,0,10,1,0,20,mumbai-suburban,0,1,2,4,3,Ground to Floor 1,,260,10.0,,31.0,15.4,15.4,2016983.81,High-Rise,IN-MH-MUM-P51800018912-19058
9.3,3.0,Mumbai Suburban,P51800033783,RENDEZVOUS PREMISES CO-OP SOCIETY LTD,JGB BUILDERS LLP (CA to Owner),400050,19.0595463,72.8279425,31-12-2024,31-12-2024,0,Residential,2093.7,332.91,6539.03,03/22/2024,0,0,14,13,1.0,1,3,17,1,0,54,mumbai-suburban,3,4,5,5,1,Ground to Floor 4,,6539,17.0,,52.7,15.48,15.48,42441378.04,High-Rise,IN-MH-MUM-P51800033783-19059
21.7,7.0,Mumbai Suburban,P51800003208,PARK REACH,PLATINUM HOMES PROPERTY,400050,19.057164,72.830907,29-12-2019,29-12-2019,03/31/2023,Residential,602.42,0.0,1618.0,04/15/2023,0,0,22,15,0.0,1,0,22,1,0,30,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,270,22.0,,68.2,15.36,15.36,3021618.24,High-Rise,IN-MH-MUM-P51800003208-19057
21.7,7.0,Mumbai Suburban,P51800006685,Le Reve,Lok Fortune Joint Venture,400052,19.056373,72.833764,31-03-2017,30-12-2025,0,Residential,520.19,0.0,5117.4,10/20/2022,4,0,62,22,1.0,1,1,17,1,0,1,mumbai-suburban,1,2,3,7,5,Ground to Floor 2,,1023,17.0,,52.7,15.32,15.32,8252262.95,High-Rise,IN-MH-MUM-P51800006685-19056
3.1,1.0,Mumbai Suburban,P51800031150,Magic Tower,Swarna Highrise Construction,400050,19.0552897,72.83454186,31-12-2024,31-12-2024,0,Residential,624.6,0.0,0.0,05-06-2023,0,0,20,0,1.0,1,0,11,0,0,0,mumbai-suburban,0,0,1,1,1,Ground Only,,0,11.0,,34.1,15.26,15.26,0.0,High-Rise,IN-MH-MUM-P51800031150-19055
21.7,7.0,Mumbai Suburban,P51800001494,WESTBAY,Shraddha Shelters Pvt. Ltd.,400050,19.0558139,72.8343713,31-12-2017,30-12-2022,0,Residential,1324.0,0.0,3523.35,03/15/2024,6,2,67,58,0.0,1,4,18,1,0,85,mumbai-suburban,4,5,6,7,2,Ground to Floor 5,,1762,18.0,,55.8,15.29,15.29,14461237.74,High-Rise,IN-MH-MUM-P51800001494-19055
18.6,6.0,Mumbai Suburban,P51800010226,KAKAD HEIGHTS,NIRAJ KAKAD CONSTRUCTIONS,400050,19.061365,72.833402,15-04-2019,31-07-2019,01/30/2021,Residential,549.3,0.0,1477.47,10/20/2021,1,1,12,12,0.0,1,0,15,1,6,30,mumbai-suburban,0,1,2,6,5,Ground to Floor 1,,295,15.0,,46.5,15.57,15.57,2515880.24,High-Rise,IN-MH-MUM-P51800010226-19061
21.7,7.0,Mumbai Suburban,P51800009134,NAIK KAKAD NIWAS,NIRAJ KAKAD CONSTRUCTIONS PRIVATE LIMITED,400050,19.061374,72.833772,,31-01-2020,01/30/2022,Residential,581.1,0.0,1807.9,02/17/2022,2,0,23,3,0.0,1,0,14,1,2,16,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,4,7.0,,21.7,15.57,15.57,3256769.14,Mid-Rise,IN-MH-MUM-P51800009134-19061
21.7,7.0,Mumbai Suburban,P51800031980,PRESTIGE DAFFODILS CHSL,PRESTIGE ESTATES PROJECTS LIMITED,400050,19.06728387,72.82788053,31-12-2026,31-12-2026,0,Residential,5035.4,851.48,3666.8,08/16/2022,0,0,50,0,5.0,1,0,20,1,0,183,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,611,20.0,,62.0,15.86,15.86,57237794.63,High-Rise,IN-MH-MUM-P51800031980-19067
21.7,7.0,Mumbai Suburban,P51800020732,Shikhar,PTR Universal,400054,19.078851,72.836687,,,0,Residential,864.6,0.0,1658.43,08/22/2023,0,0,7,0,0.0,1,2,14,1,0,1,mumbai-suburban,2,3,4,7,4,Ground to Floor 3,,2,7.0,,21.7,16.44,16.44,4445023.59,Mid-Rise,IN-MH-MUM-P51800020732-19078
21.7,7.0,Mumbai City,P51900005370,Cornerstone,Shree Sadguru & Deluxe JV,400018,18.99656,72.82241,30-06-2023,30-06-2024,0,Residential,1565.0,0.0,4113.0,03/22/2024,1,7,140,131,1.0,1,3,41,1,0,138,mumbai-city,3,4,5,7,3,Ground to Floor 4,,1371,41.0,,127.1,12.33,12.33,19954219.5,Skyscraper,IN-MH-MUM-P51900005370-18996
21.7,7.0,Mumbai City,P51900021103,The Baya Central,Renaissance Homes,400013,18.99638889,72.8287671,30-12-2025,30-12-2025,0,Residential,3769.81,0.0,5316.22,08/22/2023,0,0,156,113,0.0,1,3,18,0,0,138,mumbai-city,3,3,4,7,4,Ground to Floor 3,,1329,18.0,,55.8,12.32,12.32,62127531.89,High-Rise,IN-MH-MUM-P51900021103-18996
37.2,12.0,Mumbai Suburban,P51800033072,SAGAR RESHAM CHSL,ENORM NAGPAL REALTY LLP,400050,19.04631007,72.82029926,14-01-2024,14-01-2024,0,Residential,1141.6,0.0,3699.0,01/13/2024,0,0,4,2,0.0,1,6,20,1,1,1,mumbai-suburban,6,7,8,12,5,Ground to Floor 7,,740,20.0,,62.0,14.82,14.82,13090613.04,High-Rise,IN-MH-MUM-P51800033072-19046
9.3,3.0,Mumbai City,P51900049469,OLYMPIA TOWER,OLYMPIA ENTERPRISES,400008,18.98207973,72.83214524,31-12-2025,31-12-2025,0,Residential,1806.88,0.0,5111.73,02-06-2024,0,0,41,5,0.0,0,4,23,0,0,40,mumbai-city,4,4,5,5,1,Ground to Floor 4,,5112,23.0,,71.3,11.6,11.6,28632476.38,High-Rise,IN-MH-MUM-P51900049469-18982
15.5,5.0,Mumbai City,P51900006894,HESTIA,MAHENDRA KISAN SALUNKE,400002,18.950773,72.823945,25-12-2022,25-12-2022,0,Residential,1038.56,0.0,5224.36,01/17/2019,1,0,19,0,1.0,2,5,38,0,0,0,mumbai-city,5,5,6,6,1,Ground to Floor 5,,5224,38.0,,117.8,10.04,10.04,16820015.1,Skyscraper,IN-MH-MUM-P51900006894-18950
9.3,3.0,Mumbai City,P51900004764,MEHTA HEIGHTS,CHANDULAL JORAWARMAL MEHTA,400004,18.955313,72.822477,31-12-2020,30-06-2021,09/30/2025,Residential,504.69,0.0,4117.7,11-06-2023,0,1,24,22,1.0,1,0,23,0,0,0,mumbai-city,0,0,1,3,3,Ground Only,,1373,23.0,,71.3,10.27,10.27,6442302.24,High-Rise,IN-MH-MUM-P51900004764-18955
12.4,4.0,Mumbai City,P51900013974,DADAMAHARAJ HEIGHTS,SHREE VASTUDEEP DEVELOPERS,400004,18.954775,72.823777,30-10-2022,30-10-2022,12/31/2024,Residential,2541.81,235.26,12348.52,01/23/2024,0,0,97,36,1.0,1,0,23,0,0,104,mumbai-city,0,0,1,4,4,Ground Only,,3087,23.0,,71.3,10.24,10.24,97301534.03,High-Rise,IN-MH-MUM-P51900013974-18954
12.4,4.0,Mumbai City,P51900012769,AAKASH TOWER,AAKASH ASSOCIATES INFRASTRUCTURE,400002,18.948367,72.825936,30-12-2020,30-06-2021,06/30/2024,Others,162.2,0.0,1135.01,10-06-2021,0,0,19,9,0.0,1,0,22,0,0,0,mumbai-city,0,0,1,4,4,Ground Only,,284,22.0,,68.2,9.92,9.92,570705.73,High-Rise,IN-MH-MUM-P51900012769-18948
12.4,4.0,Mumbai City,P51900013962,Jewel of Queen,Bhairaav Kothari Realtors LLP,400002,18.948367,72.825936,30-12-2023,30-12-2023,0,Residential,3229.95,0.0,2613.87,12/29/2023,1,0,35,0,1.0,1,0,20,0,0,24,mumbai-city,0,0,1,4,4,Ground Only,,653,20.0,,62.0,9.92,9.92,26172275.16,High-Rise,IN-MH-MUM-P51900013962-18948
12.4,4.0,Mumbai City,P51900009584,LABDHI GARDENS PHASE 1,Labdhi Lifestyle Limited,400002,18.948367,72.825936,31-12-2017,31-12-2017,0,Residential,5535.0,2140.0,3176.31,12/29/2018,0,0,80,68,0.0,2,0,10,0,0,0,mumbai-city,0,0,1,4,4,Ground Only,,794,10.0,,31.0,9.92,9.92,54500715.14,High-Rise,IN-MH-MUM-P51900009584-18948
12.4,4.0,Mumbai City,P51900013585,SIMANDHAR,MANSUKH POPATLAL SHAH,400002,18.948367,72.825936,31-12-2017,31-12-2017,03/30/2022,Residential,318.19,0.0,1168.2,07/18/2023,0,0,18,18,0.0,1,0,23,0,0,0,mumbai-city,0,0,1,4,4,Ground Only,,292,23.0,,71.3,9.92,9.92,1152299.63,High-Rise,IN-MH-MUM-P51900013585-18948
12.4,4.0,Mumbai City,P51900004271,AADITYA PEARL,SANGHVI REALTY PIVATE LTD.,400002,18.948367,72.825936,31-12-2020,30-12-2021,0,Residential,922.25,381.74,7833.36,12/21/2021,0,0,46,41,0.0,1,0,22,0,0,72,mumbai-city,0,0,1,4,4,Ground Only,,1958,22.0,,68.2,9.92,9.92,22395380.41,High-Rise,IN-MH-MUM-P51900004271-18948
12.4,4.0,Mumbai City,P51900000558,SHREEPATI ARADHANA,SHREEPATI BUILD INFRA INVESTMENT LIMITED,400002,18.948367,72.825936,31-12-2018,31-12-2019,12/30/2022,Residential,2389.46,238.25,12485.32,04-04-2023,0,0,67,52,1.0,3,0,64,0,0,108,mumbai-city,0,0,1,4,4,Ground Only,,3121,64.0,,198.4,9.92,9.92,92482835.45,Skyscraper,IN-MH-MUM-P51900000558-18948
12.4,4.0,Mumbai City,P51900012389,HEERA MANEK PRAGATEE ENCLAVE,VIKRAM JAYANTILAL BRAHMABHATT,400002,18.948367,72.825936,31-12-2018,31-12-2018,0,Residential,593.03,0.0,3404.1,02/17/2020,0,0,69,67,1.0,0,0,23,0,0,0,mumbai-city,0,0,1,4,4,Ground Only,,851,23.0,,71.3,9.92,9.92,6258073.61,High-Rise,IN-MH-MUM-P51900012389-18948
46.5,15.0,Mumbai City,P51900022369,ARAB BUILDING,BHAGWAN PALAV & SONS,400004,18.95834,72.81999,30-12-2025,30-12-2025,0,Residential,893.86,0.0,2696.7,02/18/2021,0,0,21,12,0.0,1,4,20,0,0,0,mumbai-city,4,4,5,15,11,Ground to Floor 4,Floor 11,245,20.0,,62.0,10.42,10.42,7472464.01,High-Rise,IN-MH-MUM-P51900022369-18958
21.7,7.0,Mumbai Suburban,P51800010191,OM PALACE,UMIYA BUILDERS,400054,19.069764,72.829628,15-07-2020,15-07-2022,08/31/2027,Commercial,875.0,0.0,2187.52,02/29/2024,0,0,18,0,0.0,1,0,10,1,0,1,mumbai-suburban,0,1,2,7,6,Ground to Floor 1,,365,10.0,,31.0,15.99,15.99,5933648.0,High-Rise,IN-MH-MUM-P51800010191-19069
24.8,8.0,Mumbai Suburban,P51800005022,Joy Legend Wing A,JAYANT  SONI,400052,19.070456,72.82913,30-06-2018,31-12-2018,12/31/2019,Residential,2450.73,650.55,14877.96,07-01-2021,4,4,94,52,3.0,1,1,20,1,0,240,mumbai-suburban,1,2,3,8,6,Ground to Floor 2,,2480,20.0,,62.0,16.02,16.02,113031775.02,High-Rise,IN-MH-MUM-P51800005022-19070
24.8,8.0,Mumbai Suburban,P51800003263,Joy Legend Wing B,Jayant Bhavanji Soni,400052,19.070392,72.829165,30-06-2019,31-12-2019,06/30/2025,Residential,2553.55,650.55,5823.53,01/25/2024,4,0,88,29,3.0,1,1,20,1,0,220,mumbai-suburban,1,2,3,8,6,Ground to Floor 2,,971,20.0,,62.0,16.02,16.02,46099092.6,High-Rise,IN-MH-MUM-P51800003263-19070
21.7,7.0,Mumbai Suburban,P51800007294,DARVESH GRAND,SHYAM SUNDER ESTATES PRIVATE LIMITED,400052,19.071006,72.839174,31-12-2017,31-03-2018,0,Residential,3721.96,0.0,3721.96,10/27/2018,0,0,45,38,0.0,1,2,14,1,5,56,mumbai-suburban,2,3,4,7,4,Ground to Floor 3,,930,14.0,,43.4,16.05,16.05,42944257.35,High-Rise,IN-MH-MUM-P51800007294-19071
21.7,7.0,Mumbai Suburban,P51800025298,Supreme Headquarter Bandra,Supreme Heights LLP,400050,19.065239,72.832333,30-12-2024,30-12-2024,0,Commercial,1405.8,0.0,0.0,02/22/2023,0,0,89,38,2.0,1,4,15,0,0,123,mumbai-suburban,4,4,5,7,3,Ground to Floor 4,,0,15.0,,46.5,15.76,15.76,0.0,High-Rise,IN-MH-MUM-P51800025298-19065
21.7,7.0,Mumbai Suburban,P51800054003,SHANGRILA,PARDIS TIRUMALA LLP,400050,19.06299,72.83218,31-12-2026,31-12-2026,0,Residential,723.2,0.0,0.0,01/30/2024,0,0,0,0,0.0,1,0,0,0,0,0,mumbai-suburban,0,0,1,7,7,Ground Only,,0,0.0,,0.0,15.65,15.65,0.0,Low-Rise,IN-MH-MUM-P51800054003-19062
12.4,4.0,Mumbai Suburban,P51800050072,BANDRA SIDDHARTH CO OP HSG SOC LTD,L NAGPAL BUILDERS,400050,19.06426967,72.83183544,31-05-2025,31-05-2025,0,Residential,554.34,0.0,1646.39,03-12-2024,0,0,8,3,0.0,1,0,10,0,4,24,mumbai-suburban,0,0,1,4,4,Ground Only,,412,10.0,,31.0,15.71,15.71,2829245.48,High-Rise,IN-MH-MUM-P51800050072-19064
21.7,7.0,Mumbai Suburban,P51800032858,MAPLE SHADES,SHANDOR HOMES LLP,400050,19.0640348,72.8323117,14-05-2025,14-05-2025,0,Residential,1237.4,0.0,4010.0,02/24/2024,0,0,16,7,2.0,1,3,20,1,0,78,mumbai-suburban,3,4,5,7,3,Ground to Floor 4,,1337,20.0,,62.0,15.7,15.7,15382119.4,High-Rise,IN-MH-MUM-P51800032858-19064
12.4,4.0,Mumbai Suburban,P51800000908,Corner View,Ekta Supreme Corporation,400050,19.065429,72.831552,30-09-2019,30-09-2019,0,Others,1917.2,0.0,5157.79,01-08-2020,3,2,22,21,0.0,1,2,12,1,40,66,mumbai-suburban,2,3,4,4,1,Ground to Floor 3,,5158,12.0,,37.2,15.77,15.77,30654396.46,High-Rise,IN-MH-MUM-P51800000908-19065
12.4,4.0,Mumbai Suburban,P51800030090,BANDRA BOON CHS LTD,MASS JAKS ASSOCIATE VENTURES,400050,19.06602393,72.83086086,31-12-2024,31-12-2024,0,Residential,544.1,0.0,1596.61,03/28/2022,0,0,11,1,0.0,1,0,13,0,0,0,mumbai-suburban,0,0,1,4,4,Ground Only,,399,13.0,,40.3,15.8,15.8,2693018.05,High-Rise,IN-MH-MUM-P51800030090-19066
21.7,7.0,Mumbai Suburban,P51800011664,VIOLETTE VALLEY,AQUA MARINE ENTERPRISES,400050,19.062469,72.833927,31-12-2017,31-12-2017,0,Residential,836.1,0.0,2256.03,02-05-2020,1,0,23,5,2.0,1,0,14,0,10,0,mumbai-suburban,0,0,1,7,7,Ground Only,,322,14.0,,43.4,15.62,15.62,5847426.72,High-Rise,IN-MH-MUM-P51800011664-19062
