OSM_ESTIMATED_HEIGHT_M,levels_clean,DISTRICT,RERA_ID,PROJECT_NAME,PROMOTER_NAME,LOCATION_PIN_CODE,LATITUDE,LONGITUDE,PROPOSED_DATE_OF_COMPLETION,REVISED_PROPOSED_DATE_OF_COMPLETION,EXTENDED_DATE_OF_COMPLETION,PROJECT_TYPE,PROJECT_AREA_(SQMTS),RECREATIONAL_OPEN_SPACE,SANCTIONED_FSI,DATE_LAST_MODIFIED,CASES_COUNT,COMPLAINTS_COUNT,NUMBER_OF_APPARTMENTS,NUMBER_OF_BOOKED_APPARTMENTS,NUMBER_OF_BASEMENTS,NUMBER_OF_PLINTH,NUMBER_OF_PODIUMS,NUMBER_OF_SANCTIONED_FLOORS,NUMBER_OF_STILTS,TOTAL_NO__OF_OPEN_PARKING_AS_PER_SANCTIONED_PLAN_(4-WHEELER+2-WHEELER),NUMBER_OF_CLOSED_PARKING,SOURCE_REGION,CLEAN_PODIUMS,NON_RESIDENTIAL_FLOORS,RESIDENTIAL_START_FLOOR,TOTAL_LEVELS,HABITABLE_RESIDENTIAL_FLOORS,PODIUM_PARKING_RANGE,REFUGE_FLOORS,EST_FLATS_PER_FLOOR,FINAL_FLOORS,CLEAN_BASEMENTS,STRUCTURAL_HEIGHT_M,GROUND_ELEVATION_MSL_M,TERRAIN_HEIGHT_M,BUILT_VOLUME_CBM,HEIGHT_TIER,BASE_ULPIN_ID
21.7,7.0,Mumbai City,P51900008587,NATHANI HEIGHTS REHAB,Nathani Parekh Constructions Private Limited,400008,18.968752,72.819974,31-12-2021,30-12-2021,0,Residential,5301.04,442.05,13558.53,12/22/2022,0,0,224,224,1.0,1,2,33,0,0,0,mumbai-city,2,2,3,7,5,Ground to Floor 2,,2712,33.0,,102.3,10.94,10.94,222810360.6,Skyscraper,IN-MH-MUM-P51900008587-18968
21.7,7.0,Mumbai City,P51900011250,NATHANI HEIGHTS SALE,Nathani Parekh Constructions Private Limited,400011,18.968752,72.819974,31-12-2021,30-12-2025,0,Others,5301.04,442.05,19101.64,03-05-2024,0,0,815,515,1.0,1,0,36,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,2729,36.0,,111.6,10.94,10.94,313901528.89,Skyscraper,IN-MH-MUM-P51900011250-18968
21.7,7.0,Mumbai City,P51900003487,SEA PEARL,HINDUSTAN KLOCKNER SWITCHGEAR LTD.,400007,18.95607613,72.81398187,30-12-2023,30-12-2023,12/29/2024,Others,316.64,0.0,3409.98,03-05-2024,0,0,11,7,1.0,1,0,25,1,0,38,mumbai-city,0,1,2,7,6,Ground to Floor 1,,568,25.0,,77.5,10.3,10.3,3347181.81,High-Rise,IN-MH-MUM-P51900003487-18956
21.7,7.0,Mumbai City,P51900049616,Servai Tower,Inclineestate Developers LLP,400007,18.9661928,72.8161376,31-12-2026,31-12-2026,0,Residential,478.26,0.0,3179.96,02-10-2024,0,0,17,5,0.0,1,0,22,1,0,21,mumbai-city,0,1,2,7,6,Ground to Floor 1,,530,22.0,,68.2,10.81,10.81,4714627.78,High-Rise,IN-MH-MUM-P51900049616-18966
27.3,8.8,Mumbai City,P51900027257,Alhambra,Hydra Trading Private Limited,400026,18.97331617,72.8105487,30-03-2023,30-03-2023,0,Residential,1335.37,202.1,4083.57,03/31/2023,0,0,10,0,1.0,1,5,18,1,0,28,mumbai-city,5,6,7,8,2,Ground to Floor 6,,2042,18.0,,55.8,11.17,11.17,16904538.3,High-Rise,IN-MH-MUM-P51900027257-18973
6.2,2.0,Mumbai Suburban,P51800032313,WILLADEL,PRAKASH VASHDEV GIDWANI,400050,18.928602,72.831741,31-03-2023,31-03-2023,03/30/2024,Residential,457.4,0.0,2229.67,06/15/2023,0,0,6,4,0.0,0,0,13,1,4,1,mumbai-suburban,0,1,2,2,1,Ground to Floor 1,,2230,13.0,,40.3,8.93,8.93,3161538.28,High-Rise,IN-MH-MUM-P51800032313-18928
21.7,7.0,Mumbai City,P51900003122,Kakad West End,Kakad Realty Pvt Ltd,400020,18.9351176,72.8264378,,30-06-2022,09/30/2023,Residential,757.6,0.0,753.77,01/25/2024,1,0,17,15,0.0,1,0,15,1,0,37,mumbai-city,0,1,2,7,6,Ground to Floor 1,,3,7.0,,21.7,9.26,9.26,1770274.07,Mid-Rise,IN-MH-MUM-P51900003122-18935
21.7,7.0,Mumbai City,P51900008829,VARDHMAN FLORA PHASE I,VARDHMAN DEVELOPERS LTD,400033,18.98426115,72.84116266,30-12-2022,30-12-2023,12/29/2024,Residential,4701.11,595.4,5081.04,02/16/2024,11,3,113,16,1.0,1,5,50,1,0,200,mumbai-city,5,6,7,7,1,Ground to Floor 6,,5081,50.0,,155.0,11.71,11.71,74048236.66,Skyscraper,IN-MH-MUM-P51900008829-18984
21.7,7.0,Mumbai City,P51900030992,118 WEST,TURQUOISE DEVELOPERS,400008,18.97136813,72.82558784,31-12-2031,31-12-2031,0,Residential,849.04,0.0,5731.02,03/22/2024,0,0,27,0,0.0,1,3,17,1,48,27,mumbai-city,3,4,5,7,3,Ground to Floor 4,,1910,17.0,,52.7,11.07,11.07,15084182.18,High-Rise,IN-MH-MUM-P51900030992-18971
21.7,7.0,Mumbai City,P51900004211,M4 Aarambh,M4 REALTY LLP,400004,18.96065,72.815328,25-12-2022,25-12-2024,0,Others,341.97,0.0,2559.42,05-02-2023,0,0,46,1,1.0,1,0,19,0,0,0,mumbai-city,0,0,1,7,7,Ground Only,,366,19.0,,58.9,10.53,10.53,2713259.06,High-Rise,IN-MH-MUM-P51900004211-18960
